Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2019-11-03 12:18AM,2019-11-03 8:13AM,429,46,30,475,131,210,88
2019-11-02 3:47PM,2019-11-02 7:30PM,192,31,19,223,29,135,28
2019-11-01 8:12PM,2019-11-02 7:21AM,574,95,40,669,120,379,75
2019-11-01 2:08AM,2019-11-01 7:00AM,247,45,16,292,50,161,36
2019-10-30 8:35PM,2019-10-31 6:36AM,508,93,2,601,N/A,N/A,N/A
2019-10-30 3:56AM,2019-10-30 8:08AM,221,31,16,252,39,138,44
2019-10-29 2:01AM,2019-10-29 10:11AM,421,69,40,490,87,264,70
2019-10-28 4:23AM,2019-10-28 10:57AM,348,46,21,394,97,187,64
2019-10-27 2:09AM,2019-10-27 10:33AM,448,56,28,504,133,252,63
2019-10-26 12:02AM,2019-10-26 9:01AM,456,82,34,538,133,245,78
2019-10-24 11:17PM,2019-10-25 8:03AM,475,51,34,526,106,273,96
2019-10-23 11:31PM,2019-10-24 9:13AM,516,65,39,581,130,294,92
2019-10-22 1:43AM,2019-10-22 7:31AM,314,34,17,348,70,178,66
2019-10-21 12:20AM,2019-10-21 7:09AM,348,61,32,409,100,210,38
2019-10-19 11:23PM,2019-10-20 10:58AM,606,89,53,695,124,337,145
2019-10-18 11:14PM,2019-10-19 8:37AM,465,98,31,563,103,302,60
2019-10-18 12:59AM,2019-10-18 7:08AM,316,53,19,369,78,175,63
2019-10-17 3:08AM,2019-10-17 7:57AM,257,32,11,289,86,136,35
2019-10-16 2:04AM,2019-10-16 10:03AM,395,84,30,479,93,235,67
2019-10-15 2:27AM,2019-10-15 5:17AM,161,8,1,170,N/A,N/A,N/A
2019-10-14 12:29AM,2019-10-14 9:59AM,503,67,21,570,147,271,85
2019-10-12 11:18PM,2019-10-13 3:07AM,202,27,12,229,16,169,17
2019-10-10 11:49PM,2019-10-11 7:17AM,418,30,1,448,N/A,N/A,N/A
2019-10-10 12:58AM,2019-10-10 7:52AM,359,55,23,414,84,191,84
2019-10-09 12:19AM,2019-10-09 7:08AM,370,38,23,408,123,211,36
2019-10-08 2:16AM,2019-10-08 1:16PM,575,85,40,660,160,365,50
2019-10-07 3:33AM,2019-10-07 7:06AM,186,27,16,213,45,112,29
2019-10-05 11:59PM,2019-10-06 11:02AM,643,19,1,662,N/A,N/A,N/A
2019-10-04 1:50AM,2019-10-04 7:04AM,263,51,16,314,41,169,53
2019-10-03 1:21AM,2019-10-03 12:00PM,545,94,34,639,166,330,49
2019-10-02 1:57AM,2019-10-02 1:13PM,586,89,29,675,161,363,62
2019-10-01 1:39AM,2019-10-01 12:42PM,606,56,37,662,173,355,78
2019-09-30 12:55AM,2019-09-30 7:08AM,336,37,27,373,67,233,36
2019-09-29 3:01AM,2019-09-29 9:37AM,324,71,18,395,52,222,50
2019-09-28 4:19PM,2019-09-28 8:31PM,220,31,15,251,32,167,21
2019-09-28 12:59AM,2019-09-28 9:02AM,449,34,1,483,N/A,N/A,N/A
2019-09-27 1:03AM,2019-09-27 7:11AM,342,26,0,368,N/A,N/A,N/A
2019-09-19 12:07AM,2019-09-19 8:11AM,439,45,29,484,107,274,58
2019-09-18 12:45AM,2019-09-18 7:02AM,313,64,22,377,68,191,54
2019-09-17 2:24AM,2019-09-17 11:53AM,491,78,30,569,112,263,116
2019-09-16 12:56AM,2019-09-16 7:09AM,330,43,28,373,77,208,45
2019-09-15 12:26AM,2019-09-15 9:40AM,476,78,41,554,128,277,71
2019-09-14 1:27AM,2019-09-14 8:05AM,347,51,23,398,97,165,85
2019-09-13 12:22AM,2019-09-13 7:09AM,345,61,22,406,78,227,40
2019-09-12 9:10AM,2019-09-12 11:23AM,121,12,1,133,N/A,N/A,N/A
2019-09-11 10:15PM,2019-09-12 7:52AM,494,83,36,577,149,259,86
2019-09-11 12:44AM,2019-09-11 7:07AM,319,64,24,383,89,177,53
2019-09-10 12:16AM,2019-09-10 10:16AM,505,95,29,600,131,253,121
2019-09-09 12:23AM,2019-09-09 7:09AM,350,56,29,406,79,207,64
2019-09-08 12:50AM,2019-09-08 11:23AM,534,99,30,633,155,280,99
2019-09-07 1:09AM,2019-09-07 8:59AM,430,39,32,469,137,231,62
2019-09-05 11:42PM,2019-09-06 7:11AM,400,49,25,449,95,241,64
2019-09-05 1:36AM,2019-09-05 6:49AM,288,24,20,312,51,232,5
2019-09-04 12:44AM,2019-09-04 7:07AM,311,72,31,383,61,197,53
2019-09-03 1:24AM,2019-09-03 10:42AM,468,90,32,558,131,305,32
2019-09-02 1:32AM,2019-09-02 12:46PM,608,66,45,674,137,372,99
2019-09-01 1:19AM,2019-09-01 8:04AM,351,54,29,405,98,179,74
2019-08-31 12:56AM,2019-08-31 10:55AM,544,54,35,598,126,326,92
2019-08-29 11:01PM,2019-08-30 7:01AM,419,61,40,480,64,280,75
2019-08-29 1:03AM,2019-08-29 7:48AM,358,47,31,405,111,174,73
2019-08-27 11:42PM,2019-08-28 7:07AM,389,56,21,445,86,260,43
2019-08-26 11:17PM,2019-08-27 9:16AM,523,76,49,599,131,296,96
2019-08-26 12:08AM,2019-08-26 7:08AM,364,56,19,420,77,216,71
2019-08-25 3:02PM,2019-08-25 4:43PM,92,6,0,101,N/A,N/A,N/A
2019-08-25 1:36AM,2019-08-25 8:14AM,376,22,3,398,N/A,N/A,N/A
2019-08-24 12:26AM,2019-08-24 8:36AM,420,70,28,490,132,203,85
2019-08-23 12:05AM,2019-08-23 7:08AM,347,75,23,422,72,238,37
2019-08-21 11:52PM,2019-08-22 9:01AM,474,74,45,548,114,294,66
2019-08-20 11:19PM,2019-08-21 7:09AM,409,61,29,470,77,278,54
2019-08-19 11:57PM,2019-08-20 8:59AM,483,59,35,542,132,236,115
2019-08-18 11:37PM,2019-08-19 7:09AM,403,49,37,452,116,219,68
2019-08-18 12:29AM,2019-08-18 9:03AM,450,63,27,513,125,252,73
2019-08-17 12:50AM,2019-08-17 8:45AM,420,55,23,475,101,279,40
2019-08-15 11:56PM,2019-08-16 6:59AM,338,85,17,423,27,278,33
2019-08-14 11:52PM,2019-08-15 7:43AM,403,68,28,471,75,254,74
2019-08-13 11:20PM,2019-08-14 7:08AM,411,57,22,468,88,240,83
2019-08-12 11:45PM,2019-08-13 7:59AM,418,76,17,494,75,293,50
2019-08-12 1:07AM,2019-08-12 6:57AM,302,48,23,350,59,196,47
2019-08-11 12:55AM,2019-08-11 8:33AM,391,67,33,458,67,261,63
2019-08-09 11:16PM,2019-08-10 8:11AM,463,71,37,534,122,297,44
2019-08-08 11:56PM,2019-08-09 7:07AM,383,48,31,431,85,257,41
2019-08-08 9:00AM,2019-08-08 11:11AM,128,3,1,131,N/A,N/A,N/A
2019-08-07 11:23PM,2019-08-08 7:49AM,438,67,20,505,174,207,57
